#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Replicons,Scaffolds,Release Date
"Variovorax paradoxus S110","Bacteria;Proteobacteria;Betaproteobacteria","S110","SAMN02598472","PRJNA30453","GCA_000023345.1","Complete","chromosome 1:NC_012791.1/CP001635.1; chromosome 2:NC_012792.1/CP001636.1",2,"2009-06-11T00:00:00Z"
"Photorhabdus asymbiotica","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC43949","SAMEA2272210","PRJEA30577","GCA_000196475.1","Complete","chromosome:NC_012962.1/FM162591.1; plasmid pPAU1:NC_012961.1/FM162592.1",2,"2009-07-13T23:08:00Z"
"Streptococcus equinus","Bacteria;Terrabacteria group;Firmicutes","CNU 77-23","SAMN13511671","PRJNA594291","GCA_009758075.1","Complete","chromosome:NZ_CP046628.1/CP046628.1",1,"2019-12-17T00:00:00Z"
"Treponema paraluiscuniculi Cuniculi A","Bacteria;Spirochaetes;Spirochaetia","Cuniculi A","SAMN02603006","PRJNA30657","GCA_000217655.1","Complete","chromosome:NC_015714.1/CP002103.1",1,"2011-06-09T00:00:00Z"
"Aliivibrio salmonicida LFI1238","Bacteria;Proteobacteria;Gammaproteobacteria","LFI1238","SAMEA1705917","PRJEA30703","GCA_000196495.1","Complete","chromosome 1:NC_011312.1/FM178379.1; chromosome 2:NC_011313.1/FM178380.1; plasmid pVSAL320:NC_011314.1/FM178382.1; plasmid pVSAL43:NC_011316.1/FM178384.1; plasmid pVSAL54:NC_011315.1/FM178383.1; plasmid pVSAL840:NC_011311.1/FM178381.1",6,"2008-10-01T00:00:00Z"
"Coprothermobacter proteolyticus DSM 5265","Bacteria;Coprothermobacterota;Coprothermobacteria","DSM 5265","SAMN02603927","PRJNA30729","GCA_000020945.1","Complete","chromosome:NC_011295.1/CP001145.1",1,"2008-09-26T00:00:00Z"
"Dictyoglomus thermophilum H-6-12","Bacteria;Dictyoglomi;Dictyoglomia","H-6-12; ATCC 35947","SAMN02603928","PRJNA30731","GCA_000020965.1","Complete","chromosome:NC_011297.1/CP001146.1",1,"2008-09-26T00:00:00Z"
"Thermodesulfovibrio yellowstonii DSM 11347","Bacteria;Nitrospirae;Thermodesulfovibrionia","DSM 11347","SAMN02603929","PRJNA30733","GCA_000020985.1","Complete","chromosome:NC_011296.1/CP001147.1",1,"2008-09-26T00:00:00Z"
"Ferrimonas balearica DSM 9799","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 9799","SAMN00115627","PRJNA30799","GCA_000148645.1","Complete","chromosome:NC_014541.1/CP002209.1",1,"2010-09-24T00:00:00Z"
"'Nostoc azollae' 0708","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","0708","SAMN02598476","PRJNA30807","GCA_000196515.1","Complete","chromosome:NC_014248.1/CP002059.1; plasmid pAzo01:NC_014249.1/CP002060.1; plasmid pAzo02:NC_014250.1/CP002061.1",3,"2010-06-14T00:00:00Z"
"Mycobacterium kansasii ATCC 12478","Bacteria;Terrabacteria group;Actinobacteria","ATCC 12478","SAMN02603596","PRJNA30907","GCA_000157895.2","Complete","chromosome:NC_022663.1/CP006835.1; plasmid pMK12478:NC_022654.1/CP006836.1",2,"2013-11-01T00:00:00Z"
"Thermosediminibacter oceani DSM 16646","Bacteria;Terrabacteria group;Firmicutes","DSM 16646","SAMN00713558","PRJNA30983","GCA_000144645.1","Complete","chromosome:NC_014377.1/CP002131.1",1,"2010-08-05T00:00:00Z"
"Halothiobacillus neapolitanus c2","Bacteria;Proteobacteria;Gammaproteobacteria","c2","SAMN02598477","PRJNA31049","GCA_000024765.1","Complete","chromosome:NC_013422.1/CP001801.1",1,"2009-10-21T00:00:00Z"
"Pectobacterium carotovorum","Bacteria;Proteobacteria;Gammaproteobacteria","WPP14","SAMN14475103","PRJNA615876","GCA_013488025.1","Complete","chromosome:NZ_CP051652.1/CP051652.1",1,"2020-07-23T00:00:00Z"
"Pectobacterium wasabiae CFBP 3304","Bacteria;Proteobacteria;Gammaproteobacteria","CFBP 3304","SAMN04915576","PRJNA320083","GCA_001742185.1","Complete","chromosome:NZ_CP015750.1/CP015750.1",1,"2016-09-22T00:00:00Z"
"Dickeya zeae","Bacteria;Proteobacteria;Gammaproteobacteria","MS2","SAMN08333636","PRJNA429264","GCA_002887555.1","Complete","chromosome:NZ_CP025799.1/CP025799.1",1,"2018-01-17T00:00:00Z"
"Bacillus vallismortis","Bacteria;Terrabacteria group;Firmicutes","Bac111","SAMN10146793","PRJNA412146","GCA_003667885.1","Complete","chromosome:NZ_CP033052.1/CP033052.1",1,"2018-10-21T00:00:00Z"
"Kyrpidia tusciae DSM 2912","Bacteria;Terrabacteria group;Firmicutes","DSM 2912","SAMN00017498","PRJNA31345","GCA_000092905.1","Complete","chromosome:NC_014098.1/CP002017.1",1,"2010-04-29T00:00:00Z"
"Sulfurimonas autotrophica DSM 16294","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 16294","SAMN00713560","PRJNA31347","GCA_000147355.1","Complete","chromosome:NC_014506.1/CP002205.1",1,"2010-09-15T00:00:00Z"
"Aggregatibacter actinomycetemcomitans","Bacteria;Proteobacteria;Gammaproteobacteria","VT1169","SAMN03799080","PRJNA288376","GCA_001594245.1","Complete","chromosome:NZ_CP012958.1/CP012958.1",1,"2016-03-21T00:00:00Z"
"Brucella microti CCM 4915","Bacteria;Proteobacteria;Alphaproteobacteria","CCM 4915","SAMN02603148","PRJNA32233","GCA_000022745.1","Complete","chromosome 1:NC_013119.1/CP001578.1; chromosome 2:NC_013118.1/CP001579.1",2,"2009-08-18T00:00:00Z"
"Allochromatium vinosum DSM 180","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 180","SAMN02598487","PRJNA32547","GCA_000025485.1","Complete","chromosome:NC_013851.1/CP001896.1; plasmid pALVIN01:NC_013852.1/CP001897.1; plasmid pALVIN02:NC_013862.1/CP001898.1",3,"2010-02-16T00:00:00Z"
"Ilyobacter polytropus DSM 2926","Bacteria;Fusobacteria;Fusobacteriia","DSM 2926","SAMN00116458","PRJNA32577","GCA_000165505.1","Complete","chromosome:NC_014632.1/CP002281.1; plasmid pILYOP01:NC_014633.1/CP002282.1; plasmid pILYOP02:NC_014634.1/CP002283.1",3,"2010-10-22T00:00:00Z"
"Thermoanaerobacter brockii subsp. finnii Ako-1","Bacteria;Terrabacteria group;Firmicutes","Ako-1","SAMN00713580","PRJNA32585","GCA_000175295.2","Complete","chromosome:NC_014964.1/CP002466.1",1,"2011-01-24T00:00:00Z"
"Aminobacterium colombiense DSM 12261","Bacteria;Synergistetes;Synergistia","DSM 12261","SAMN02598488","PRJNA32587","GCA_000025885.1","Complete","chromosome:NC_014011.1/CP001997.1",1,"2010-04-05T00:00:00Z"
"Halanaerobium praevalens DSM 2228","Bacteria;Terrabacteria group;Firmicutes","DSM 2228","SAMN00103629","PRJNA32591","GCA_000165465.1","Complete","chromosome:NC_017455.1/CP002175.1",1,"2010-10-21T00:00:00Z"
"Arcobacter nitrofigilis DSM 7299","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 7299","SAMN02598489","PRJNA32593","GCA_000092245.1","Complete","chromosome:NC_014166.1/CP001999.1",1,"2010-05-17T00:00:00Z"
"Asticcacaulis excentricus CB 48","Bacteria;Proteobacteria;Alphaproteobacteria","CB 48","SAMN00002561","PRJNA32595","GCA_000175215.2","Complete","chromosome 1:NC_014816.1/CP002395.1; chromosome 2:NC_014817.1/CP002396.1; plasmid pASTEX01:NC_014818.1/CP002397.1; plasmid pASTEX02:NC_014819.1/CP002398.1",4,"2010-12-22T00:00:00Z"
"Clostridium cellulovorans 743B","Bacteria;Terrabacteria group;Firmicutes","743B","SAMN00002614","PRJNA32609","GCA_000145275.1","Complete","chromosome:NC_014393.1/CP002160.1",1,"2010-08-11T00:00:00Z"
"Sediminispirochaeta smaragdinae DSM 11293","Bacteria;Spirochaetes;Spirochaetia","DSM 11293","SAMN00017394","PRJNA32637","GCA_000143985.1","Complete","chromosome:NC_014364.1/CP002116.1",1,"2010-07-29T00:00:00Z"
"Anaplasma centrale str. Israel","Bacteria;Proteobacteria;Alphaproteobacteria","Israel","SAMN02604279","PRJNA32765","GCA_000024505.1","Complete","chromosome:NC_013532.1/CP001759.1",1,"2009-11-24T00:00:00Z"
"Acetohalobium arabaticum DSM 5501","Bacteria;Terrabacteria group;Firmicutes","DSM 5501","SAMN00016993","PRJNA32769","GCA_000144695.1","Complete","chromosome:NC_014378.1/CP002105.1",1,"2010-08-05T00:00:00Z"
"Isosphaera pallida ATCC 43644","Bacteria;PVC group;Planctomycetes","ATCC 43644","SAMN00138929","PRJNA32825","GCA_000186345.1","Complete","chromosome:NC_014962.1/CP002353.1; plasmid pISOP01:NC_014957.1/CP002354.1",2,"2011-01-20T00:00:00Z"
"Gallionella capsiferriformans ES-2","Bacteria;Proteobacteria;Betaproteobacteria","ES-2","SAMN00002572","PRJNA32827","GCA_000145255.1","Complete","chromosome:NC_014394.1/CP002159.1",1,"2010-08-11T00:00:00Z"
"Desulfobulbus propionicus DSM 2032","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 2032","SAMN00713581","PRJNA32993","GCA_000186885.1","Complete","chromosome:NC_014972.1/CP002364.1",1,"2011-01-27T00:00:00Z"
"Thermoanaerobacter italicus Ab9","Bacteria;Terrabacteria group;Firmicutes","Ab9","SAMN02598495","PRJNA33157","GCA_000025645.1","Complete","chromosome:NC_013921.1/CP001936.1",1,"2010-02-24T00:00:00Z"
"Sideroxydans lithotrophicus ES-1","Bacteria;Proteobacteria;Betaproteobacteria","ES-1","SAMN02598496","PRJNA33161","GCA_000025705.1","Complete","chromosome:NC_013959.1/CP001965.1",1,"2010-03-26T00:00:00Z"
"Thermoanaerobacterium thermosaccharolyticum DSM 571","Bacteria;Terrabacteria group;Firmicutes","DSM 571","SAMN00002542","PRJNA33165","GCA_000145615.1","Complete","chromosome:NC_014410.1/CP002171.1",1,"2010-08-13T00:00:00Z"
"Hyphomicrobium denitrificans ATCC 51888","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 51888","SAMN02598499","PRJNA33261","GCA_000143145.1","Complete","chromosome:NC_014313.1/CP002083.1",1,"2010-06-25T00:00:00Z"
"Thermoanaerobacter mathranii subsp. mathranii str. A3","Bacteria;Terrabacteria group;Firmicutes","A3","SAMN02598500","PRJNA33329","GCA_000092965.1","Complete","chromosome:NC_014209.1/CP002032.1",1,"2010-05-26T00:00:00Z"
"Hirschia baltica ATCC 49814","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 49814","SAMN02598497","PRJNA33191","GCA_000023785.1","Complete","chromosome:NC_012982.1/CP001678.1; plasmid pHbal01:NC_012983.1/CP001679.1",2,"2009-07-17T00:00:00Z"
"Methylovorus glucosetrophus SIP3-4","Bacteria;Proteobacteria;Betaproteobacteria","SIP3-4","SAMN02598498","PRJNA33241","GCA_000023745.1","Complete","chromosome:NC_012969.1/CP001674.1; plasmid pMsip01:NC_012970.1/CP001675.1; plasmid pMsip02:NC_012972.1/CP001676.1",3,"2009-07-15T00:00:00Z"
"Coraliomargarita akajimensis DSM 45221","Bacteria;PVC group;Verrucomicrobia","DSM 45221","SAMN02598501","PRJNA33365","GCA_000025905.1","Complete","chromosome:NC_014008.1/CP001998.1",1,"2010-04-05T00:00:00Z"
"Escherichia fergusonii","Bacteria;Proteobacteria;Gammaproteobacteria","RHB19-C05","SAMN15148162","PRJNA605147","GCA_013892435.1","Complete","chromosome:NZ_CP057657.1/CP057657.1; plasmid pRHB19-C05_2:NZ_CP057658.1/CP057658.1; plasmid pRHB19-C05_3:NZ_CP057659.1/CP057659.1",3,"2020-07-29T00:00:00Z"
"Streptococcus intermedius","Bacteria;Terrabacteria group;Firmicutes","NCTC11324","SAMEA4012327","PRJEB6403","GCA_900475975.1","Complete","chromosome 1:NZ_LS483436.1/LS483436.1",1,"2018-06-17T00:00:00Z"
"Desulfurivibrio alkaliphilus AHT 2","Bacteria;Proteobacteria;delta/epsilon subdivisions","AHT 2","SAMN02598502","PRJNA33629","GCA_000092205.1","Complete","chromosome:NC_014216.1/CP001940.1",1,"2010-05-27T00:00:00Z"
"Thiomonas intermedia","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 15466","SAMN06197299","PRJNA359731","GCA_002028405.1","Complete","chromosome:NZ_CP020046.1/CP020046.1; plasmid pXI1:NZ_CP020047.1/CP020047.1",2,"2017-03-15T00:00:00Z"
"Thermotoga naphthophila RKU-10","Bacteria;Thermotogae;Thermotogae","RKU-10","SAMN02598505","PRJNA33663","GCA_000025105.1","Complete","chromosome:NC_013642.1/CP001839.1",1,"2009-12-18T00:00:00Z"
"Acidaminococcus fermentans DSM 20731","Bacteria;Terrabacteria group;Firmicutes","DSM 20731","SAMN02598507","PRJNA33685","GCA_000025305.1","Complete","chromosome:NC_013740.1/CP001859.1",1,"2010-01-15T00:00:00Z"
"Cellulomonas fimi ATCC 484","Bacteria;Terrabacteria group;Actinobacteria","ATCC 484","SAMN00713615","PRJNA33691","GCA_000212695.1","Complete","chromosome:NC_015514.1/CP002666.1",1,"2011-05-09T00:00:00Z"
"Cellulomonas gilvus ATCC 13127","Bacteria;Terrabacteria group;Actinobacteria","ATCC 13127","SAMN02232005","PRJNA33853","GCA_000218545.1","Complete","chromosome:NC_015671.1/CP002665.1",1,"2011-06-15T00:00:00Z"
"Mesorhizobium opportunistum WSM2075","Bacteria;Proteobacteria;Alphaproteobacteria","WSM2075","SAMN02232036","PRJNA33861","GCA_000176035.2","Complete","chromosome:NC_015675.1/CP002279.1",1,"2011-06-14T00:00:00Z"
"Tolumonas auensis DSM 9187","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 9187","SAMN02598508","PRJNA33873","GCA_000023065.1","Complete","chromosome:NC_012691.1/CP001616.1",1,"2009-05-13T00:00:00Z"
"Hydrogenobacter thermophilus TK-6","Bacteria;Aquificae;Aquificae","TK-6","SAMN00191234","PRJNA41547","GCA_000164905.1","Complete","chromosome:NC_017161.1/CP002221.1",1,"2010-10-15T00:00:00Z"
"Erwinia pyrifoliae","Bacteria;Proteobacteria;Gammaproteobacteria","EpK1/15","SAMN07689503","PRJNA411857","GCA_002952315.1","Complete","chromosome:NZ_CP023567.1/CP023567.1; plasmid pEP48:NZ_CP023568.1/CP023568.1",2,"2018-02-02T00:00:00Z"
"Erwinia billingiae Eb661","Bacteria;Proteobacteria;Gammaproteobacteria","Eb661","SAMEA2272131","PRJEA34781","GCA_000196615.1","Complete","chromosome:NC_014306.1/FP236843.1; plasmid pEB102:NC_014304.1/FP236826.1; plasmid pEB170:NC_014305.1/FP236830.1",3,"2010-06-22T00:00:00Z"
"Bartonella grahamii as4aup","Bacteria;Proteobacteria;Alphaproteobacteria","as4aup","SAMN02603206","PRJNA34873","GCA_000022725.1","Complete","chromosome:NC_012846.1/CP001562.1; plasmid pBGR3:NC_012847.1/CP001563.1",2,"2009-06-19T00:00:00Z"
"Aggregatibacter aphrophilus ATCC 33389","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC5906","SAMEA3919800","PRJEB6403","GCA_900636915.1","Complete","chromosome 1:NZ_LR134327.1/LR134327.1",1,"2018-12-19T00:00:00Z"
"Acidithiobacillus caldus","Bacteria;Proteobacteria;Acidithiobacillia","MTH-04","SAMN04849265","PRJNA318365","GCA_001650235.3","Complete","chromosome:NZ_CP026328.2/CP026328.2; plasmid p1:NZ_CP026329.1/CP026329.1; plasmid p2:NZ_CP026330.1/CP026330.1",3,"2018-01-25T00:00:00Z"
"Nitrosococcus halophilus Nc 4","Bacteria;Proteobacteria;Gammaproteobacteria","Nc 4","SAMN02598510","PRJNA36589","GCA_000024725.1","Complete","chromosome:NC_013960.1/CP001798.1; plasmid pNHAL01:NC_013958.1/CP001799.1",2,"2010-03-26T00:00:00Z"
"Olsenella uli DSM 7084","Bacteria;Terrabacteria group;Actinobacteria","DSM 7084","SAMN00016989","PRJNA36641","GCA_000143845.1","Complete","chromosome:NC_014363.1/CP002106.1",1,"2010-07-26T00:00:00Z"
"Brevundimonas subvibrioides ATCC 15264","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 15264","SAMN00007485","PRJNA36643","GCA_000144605.1","Complete","chromosome:NC_014375.1/CP002102.1",1,"2010-08-05T00:00:00Z"
"Thermocrinis albus DSM 14484","Bacteria;Aquificae;Aquificae","DSM 14484","SAMN02598512","PRJNA37275","GCA_000025605.1","Complete","chromosome:NC_013894.1/CP001931.1",1,"2010-02-19T00:00:00Z"
"Caulobacter segnis","Bacteria;Proteobacteria;Alphaproteobacteria","TK0059","SAMN06675636","PRJNA381387","GCA_003015125.1","Complete","chromosome:NZ_CP027850.1/CP027850.1",1,"2018-03-26T00:00:00Z"
"Phocaeicola dorei","Bacteria;FCB group;Bacteroidetes/Chlorobi group","MGYG-HGUT-02478","SAMEA5851983","PRJEB33885","GCA_902387545.1","Complete","chromosome 1:NZ_LR699004.1/LR699004.1",1,"2019-08-09T00:00:00Z"
"Kingella oralis","Bacteria;Proteobacteria;Betaproteobacteria","DSM 18271","SAMN15603182","PRJNA647881","GCA_014054985.1","Complete","chromosome:NZ_CP059569.1/CP059569.1; plasmid pDSM18271:NZ_CP059568.1/CP059568.1",2,"2020-08-04T00:00:00Z"
"Lactobacillus jensenii","Bacteria;Terrabacteria group;Firmicutes","SNUV360","SAMN06163224","PRJNA357991","GCA_001936235.1","Complete","chromosome:NZ_CP018809.1/CP018809.1",1,"2017-01-05T00:00:00Z"
"Abiotrophia defectiva","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_785","SAMN11056500","PRJNA231221","GCA_013267415.1","Complete","chromosome:NZ_CP053988.1/CP053988.1",1,"2020-06-04T00:00:00Z"
"Prevotella melaninogenica ATCC 25845","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 25845","SAMN00001916","PRJNA31383","GCA_000144405.1","Complete","chromosome I:NC_014370.1/CP002122.1; chromosome II:NC_014371.1/CP002123.1",2,"2010-08-04T00:00:00Z"
"Capnocytophaga gingivalis","Bacteria;FCB group;Bacteroidetes/Chlorobi group","H1496","SAMN06289147","PRJNA369395","GCA_002302415.1","Complete","chromosome:NZ_CP022386.1/CP022386.1",1,"2017-09-14T00:00:00Z"
"Rothia dentocariosa ATCC 17931","Bacteria;Terrabacteria group;Actinobacteria","ATCC 17931","SAMN00120582","PRJNA48447","GCA_000164695.2","Complete","chromosome:NC_014643.1/CP002280.1",1,"2010-11-03T00:00:00Z"
"Staphylococcus caprae","Bacteria;Terrabacteria group;Firmicutes","JMUB898","SAMD00115875","PRJDB6943","GCA_003966625.1","Complete","chromosome:NZ_AP018587.1/AP018587.1",1,"2018-08-31T00:00:00Z"
"Bifidobacterium angulatum DSM 20098 = JCM 7096","Bacteria;Terrabacteria group;Actinobacteria","JCM 7096","SAMD00061039","PRJDB55","GCA_001025155.1","Complete","chromosome:NZ_AP012322.1/AP012322.1",1,"2015-03-24T00:00:00Z"
"Providencia alcalifaciens","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_408","SAMN07312452","PRJNA231221","GCA_002393505.1","Complete","chromosome:NZ_CP023536.1/CP023536.1",1,"2017-09-28T00:00:00Z"
"Providencia rettgeri","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0082","SAMN04014923","PRJNA292904","GCA_003204135.1","Complete","chromosome:NZ_CP029736.1/CP029736.1; plasmid unnamed:NZ_CP029737.1/CP029737.1",2,"2018-06-10T00:00:00Z"
"Bifidobacterium pseudocatenulatum","Bacteria;Terrabacteria group;Actinobacteria","12","SAMN08116046","PRJNA420744","GCA_003952825.1","Complete","chromosome:NZ_CP025199.1/CP025199.1",1,"2018-12-18T00:00:00Z"
"Neisseria elongata","Bacteria;Proteobacteria;Betaproteobacteria","M15911","SAMN09704973","PRJNA428178","GCA_003351545.1","Complete","chromosome:NZ_CP031252.1/CP031252.1",1,"2018-08-01T00:00:00Z"
"Neisseria flavescens","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 13120","SAMN11461057","PRJNA533546","GCA_005221285.1","Complete","chromosome:NZ_CP039886.1/CP039886.1",1,"2019-05-07T00:00:00Z"
"Neisseria polysaccharea","Bacteria;Proteobacteria;Betaproteobacteria","M18661","SAMN09704642","PRJNA428178","GCA_003355195.1","Complete","chromosome:NZ_CP031325.1/CP031325.1",1,"2018-08-05T00:00:00Z"
"Neisseria subflava","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 49275","SAMN11461056","PRJNA533546","GCA_005221305.1","Complete","chromosome:NZ_CP039887.1/CP039887.1",1,"2019-05-07T00:00:00Z"
"Filifactor alocis ATCC 35896","Bacteria;Terrabacteria group;Firmicutes","ATCC 35896","SAMN02463683","PRJNA30485","GCA_000163895.2","Complete","chromosome:NC_016630.1/CP002390.1",1,"2011-01-27T00:00:00Z"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_575","SAMN10163251","PRJNA231221","GCA_003812505.1","Complete","chromosome:NZ_CP033732.1/CP033732.1; plasmid unnamed1:NZ_CP033731.1/CP033731.1; plasmid unnamed2:NZ_CP033733.1/CP033733.1",3,"2018-11-21T00:00:00Z"
"Pseudoleptotrichia goodfellowii","Bacteria;Fusobacteria;Fusobacteriia","JCM16774","SAMD00156222","PRJDB7856","GCA_007990505.1","Complete","chromosome:NZ_AP019822.1/AP019822.1",1,"2019-07-24T00:00:00Z"
"Corynebacterium matruchotii","Bacteria;Terrabacteria group;Actinobacteria","ATCC 14266","SAMN14365915","PRJNA549513","GCA_011612265.2","Complete","chromosome:NZ_CP050134.2/CP050134.2",1,"2020-03-23T00:00:00Z"
"Capnocytophaga sputigena","Bacteria;FCB group;Bacteroidetes/Chlorobi group","D1179","SAMN06754875","PRJNA369395","GCA_002302495.1","Complete","chromosome:NZ_CP022379.1/CP022379.1",1,"2017-09-14T00:00:00Z"
"Propionibacterium acidifaciens","Bacteria;Terrabacteria group;Actinobacteria","FDAARGOS_576","SAMN10228556","PRJNA231221","GCA_003798325.1","Complete","chromosome:NZ_CP033719.1/CP033719.1",1,"2018-11-20T00:00:00Z"
"Lentilactobacillus hilgardii","Bacteria;Terrabacteria group;Firmicutes","LMG 07934","SAMN14262734","PRJNA609644","GCA_011765585.1","Complete","chromosome:NZ_CP050262.1/CP050262.1",1,"2020-03-29T00:00:00Z"
"Lacticaseibacillus paracasei","Bacteria;Terrabacteria group;Firmicutes","Zhang","SAMN02603933","PRJNA28537","GCA_000019245.3","Complete","chromosome:NC_014334.2/CP001084.2; plasmid plca36:NC_011352.1/CP000935.1",2,"2010-07-12T00:00:00Z"
"Mobiluncus curtisii ATCC 43063","Bacteria;Terrabacteria group;Actinobacteria","ATCC 43063","SAMN00001505","PRJNA31519","GCA_000196535.1","Complete","chromosome:NC_014246.1/CP001992.1",1,"2010-06-14T00:00:00Z"
"Enterobacter cancerogenus","Bacteria;Proteobacteria;Gammaproteobacteria","MiY-F","SAMN10574725","PRJNA541977","GCA_009648915.1","Complete","chromosome:NZ_CP045769.1/CP045769.1; plasmid pCFSAN086183:NZ_CP045770.1/CP045770.1",2,"2019-11-11T00:00:00Z"
"Peptacetobacter hiranonis","Bacteria;Terrabacteria group;Firmicutes","DSM 13275","SAMN10976983","PRJNA523217","GCA_008151785.1","Complete","chromosome:NZ_CP036523.1/CP036523.1",1,"2019-08-30T00:00:00Z"
"Roseburia intestinalis L1-82","Bacteria;Terrabacteria group;Firmicutes","L1-82","SAMEA4878606","PRJEB28433","GCA_900537995.1","Complete","chromosome 1:NZ_LR027880.1/LR027880.1",1,"2019-02-27T00:00:00Z"
"Blautia hansenii DSM 20583","Bacteria;Terrabacteria group;Firmicutes","DSM 20583","SAMN07340700","PRJNA393727","GCA_002222595.2","Complete","chromosome:NZ_CP022413.2/CP022413.2",1,"2017-07-20T00:00:00Z"
"Helicobacter cinaedi","Bacteria;Proteobacteria;delta/epsilon subdivisions","P01D0000","SAMD00106671","PRJDB6556","GCA_003213725.2","Complete","chromosome:NZ_AP018676.1/AP018676.1",1,"2018-06-09T00:00:00Z"
"Staphylococcus capitis subsp. capitis","Bacteria;Terrabacteria group;Firmicutes","AYP1020","SAMN02739579","PRJNA232502","GCA_001028645.1","Complete","chromosome:NZ_CP007601.1/CP007601.1; plasmid pAYP1020:NZ_CP007602.1/CP007602.1",2,"2015-06-12T00:00:00Z"
"Gemella haemolysans","Bacteria;Terrabacteria group;Firmicutes","NCTC10459","SAMEA104016177","PRJEB6403","GCA_900638055.1","Complete","chromosome 1:NZ_LR134484.1/LR134484.1",1,"2018-12-19T00:00:00Z"
"Campylobacter rectus","Bacteria;Proteobacteria;delta/epsilon subdivisions","ATCC 33238","SAMN03737987","PRJNA284987","GCA_004803795.1","Complete","chromosome:NZ_CP012543.1/CP012543.1",1,"2019-04-23T00:00:00Z"
"Campylobacter showae","Bacteria;Proteobacteria;delta/epsilon subdivisions","ATCC 51146","SAMN03737988","PRJNA284988","GCA_004803815.1","Complete","chromosome:NZ_CP012544.1/CP012544.1",1,"2019-04-23T00:00:00Z"
"Campylobacter gracilis","Bacteria;Proteobacteria;delta/epsilon subdivisions","ATCC 33236","SAMN03862076","PRJNA290037","GCA_001190745.1","Complete","chromosome:NZ_CP012196.1/CP012196.1",1,"2015-08-03T00:00:00Z"
"Chryseobacterium gleum","Bacteria;FCB group;Bacteroidetes/Chlorobi group","NCTC11432","SAMEA3643324","PRJEB6403","GCA_900636535.1","Complete","chromosome 1:NZ_LR134289.1/LR134289.1",1,"2018-12-19T00:00:00Z"
"Neisseria cinerea","Bacteria;Proteobacteria;Betaproteobacteria","NCTC10294","SAMEA3714889","PRJEB6403","GCA_900475315.1","Complete","chromosome 1:NZ_LS483369.1/LS483369.1",1,"2018-06-17T00:00:00Z"
"Selenomonas sputigena ATCC 35185","Bacteria;Terrabacteria group;Firmicutes","ATCC 35185","SAMN00713607","PRJNA51247","GCA_000208405.1","Complete","chromosome:NC_015437.1/CP002637.1",1,"2011-04-21T00:00:00Z"
"Veillonella dispar","Bacteria;Terrabacteria group;Firmicutes","NCTC11831","SAMEA4442464","PRJEB6403","GCA_900637515.1","Complete","chromosome 1:NZ_LR134375.1/LR134375.1",1,"2018-12-19T00:00:00Z"
"Eikenella corrodens","Bacteria;Proteobacteria;Betaproteobacteria","NCTC10596","SAMEA4412678","PRJEB6403","GCA_900187105.1","Complete","chromosome 1:NZ_LT906482.1/LT906482.1",1,"2017-08-15T00:00:00Z"
"Staphylococcus warneri","Bacteria;Terrabacteria group;Firmicutes","NCTC4133","SAMEA3505359","PRJEB6403","GCA_900636255.1","Complete","chromosome 1:NZ_LR134242.1/LR134242.1",1,"2018-12-19T00:00:00Z"
"Corynebacterium aurimucosum ATCC 700975","Bacteria;Terrabacteria group;Actinobacteria","DSM 44827; ATCC 700975","SAMN02603064","PRJNA37279","GCA_000022905.1","Complete","chromosome:NC_012590.1/CP001601.1; plasmid pET44827:NC_010813.1/FM164414.1",2,"2009-04-24T00:00:00Z"
"Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043","Bacteria;Terrabacteria group;Actinobacteria","JCM 1194","SAMD00061042","PRJDB58","GCA_001025195.1","Complete","chromosome:NZ_AP012325.1/AP012325.1",1,"2015-03-24T00:00:00Z"
"Oxalobacter formigenes","Bacteria;Proteobacteria;Betaproteobacteria","HC-1","SAMN06036219","PRJNA353993","GCA_002127965.1","Complete","chromosome:NZ_CP018787.1/CP018787.1",1,"2017-05-11T00:00:00Z"
"Fusobacterium ulcerans","Bacteria;Fusobacteria;Fusobacteriia","ATCC 49185","SAMN08501141","PRJNA433545","GCA_003019675.1","Complete","chromosome:NZ_CP028105.1/CP028105.1",1,"2018-03-26T00:00:00Z"
